,N_MLUNG_1,N_MLUNG_2,N_MLUNG_3,N_MLUNG_4,N_MLUNG_5,T_MLUNG_1,T_MLUNG_2,T_MLUNG_3,T_MLUNG_4,T_MLUNG_5,T_MLUNG_6,T_MLUNG_7
EAM297,0.989502421588897,1.0528451645962487,0.60302309799509,1.6616885230829976,0.739564360456742,-0.3174399787131387,-0.5112333358160512,-1.6036298789459835,-0.6610632856219014,-0.019662643141864288,-0.9722511215046972,-0.9613433239763332
EAM301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAM304,-0.4076008466522801,-0.8750003073413791,-0.4866310009987082,0.054060451014965726,-2.3406314733593434,1.165699123702991,-0.3439594022280947,1.1894342525661095,1.0287656879542306,0.149261792059342,0.46407828148553637,0.40252344179656996
EAM306,0.17729075100943803,-0.06884367993356522,-0.9125120124111598,1.9446082058936902,0.4298752456563994,0.3744046978023668,-0.37999475301245833,-2.2536092577379234,0.35763453217207836,0.7319962295497506,-0.03091730535429862,-0.36993265363428574
EAM307,0.9809105429747871,-0.3353744503220385,-0.19534413188620717,1.3075009392007217,0.23797803461207861,-0.13999356507141322,-0.6081579210387714,-2.525360422583855,0.6285192849268185,0.9551096811527513,-0.1585172607385154,-0.14727073122634693
EAM308,1.1770626866493596,-0.6394574499297907,-0.6394574499297907,0.4614090794028529,1.5324861334187365,-0.6394574499297907,-0.6394574499297907,-0.6394574499297907,-0.6394574499297907,1.9447016999673772,-0.6394574499297907,-0.6394574499297907
EAM309,-0.28867513459481203,-0.28867513459481203,-0.28867513459481203,3.175426480542942,-0.28867513459481203,-0.28867513459481203,-0.28867513459481203,-0.28867513459481203,-0.28867513459481203,-0.28867513459481203,-0.28867513459481203,-0.28867513459481203
EAM310,1.3230881323541879,0.7506717729155742,0.8178509259121481,1.211987844995049,0.8859911540588872,-0.8946888841678841,-0.7200615293827995,-1.2372160676868935,-0.5721520637723188,0.5604750006978079,-0.9849338407684318,-1.1410124451553205
EAM247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAM251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAM253,1.2450045214180279,0.5328574124338176,1.1214238953996554,1.5081175753295466,-0.05350882199757044,-0.5859689673348896,-1.0406869977882465,-0.8725513389472275,0.24499156250971588,-0.05479230030933259,-0.21944423230413782,-1.825442308409364
